Fetched 0/1156 | 0.0% of days | 0.0% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.0% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.0% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.0% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.0% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 334/1156 | 28.9% of days | 35.1% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.1% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.1% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Rate limit exceeded. Sleeping for 307 seconds.
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.2% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 335/1156 | 29.0% of days | 35.3% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.3% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.3% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.3% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.3% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.4% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.5% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.6% of MAX_TWEETS
Fetched 336/1156 | 29.1% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.6% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 337/1156 | 29.2% of days | 35.7% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.8% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 35.9% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 338/1156 | 29.2% of days | 36.0% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.1% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 339/1156 | 29.3% of days | 36.2% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.2% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.3% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.4% of MAX_TWEETS
Fetched 340/1156 | 29.4% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.5% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.6% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.7% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.7% of MAX_TWEETS
Fetched 341/1156 | 29.5% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.7% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.8% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 36.9% of MAX_TWEETS
Fetched 342/1156 | 29.6% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.0% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.1% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.2% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.2% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.2% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.2% of MAX_TWEETS
Fetched 343/1156 | 29.7% of days | 37.2% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.2% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.2% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.2% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.2% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.2% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.3% of MAX_TWEETS
Fetched 344/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.4% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 345/1156 | 29.8% of days | 37.5% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.5% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.6% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.7% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.8% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.8% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.8% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.8% of MAX_TWEETS
Fetched 346/1156 | 29.9% of days | 37.8% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.8% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.8% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.8% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.8% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.8% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 37.9% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.0% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.1% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.1% of MAX_TWEETS
Fetched 347/1156 | 30.0% of days | 38.1% of MAX_TWEETS
Rate limit exceeded. Sleeping for 328 seconds.
Fetched 347/1156 | 30.0% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.1% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.2% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.3% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.4% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.4% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.4% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.4% of MAX_TWEETS
Fetched 348/1156 | 30.1% of days | 38.4% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.4% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.4% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.4% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.4% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.4% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.5% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.6% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.7% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.8% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.8% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.8% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.8% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.8% of MAX_TWEETS
Fetched 349/1156 | 30.2% of days | 38.8% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.8% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.8% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.8% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.8% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
Fetched 350/1156 | 30.3% of days | 38.9% of MAX_TWEETS
